2026-03-05 20:49:21 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Thumbnail OK — 11177 bytes, 3024x3024
2026-03-05 20:49:21 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Starting parallel tasks (blob × 2, analyze, vectorize)…
2026-03-05 20:49:21 | INFO    | app.blob_storage             | upload_blob: originals/a7d5e58180f7470e8fe37af9a01432cb.jpg  1407658 bytes  image/jpeg
2026-03-05 20:49:22 | INFO    | app.blob_storage             | upload_blob OK: originals/a7d5e58180f7470e8fe37af9a01432cb.jpg
2026-03-05 20:49:22 | INFO    | app.blob_storage             | upload_blob: thumbnails/a7d5e58180f7470e8fe37af9a01432cb.jpg  11177 bytes  image/jpeg
2026-03-05 20:49:22 | INFO    | app.blob_storage             | upload_blob OK: thumbnails/a7d5e58180f7470e8fe37af9a01432cb.jpg
2026-03-05 20:49:22 | INFO    | app.vision                   | analyze_image — 1407658 bytes
2026-03-05 20:49:26 | INFO    | app.vision                   | vectorize_image — 1407658 bytes
2026-03-05 20:49:31 | INFO    | app.vision                   | vectorize_image OK (5091 ms) — 1024-d vector
2026-03-05 20:49:31 | INFO    | app.vision                   | analyze_image OK (9453 ms) — caption='a sign on a wall', 5 tags, 0 objects
2026-03-05 20:49:31 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Blob upload  OK — original=https://movistar.blob.core.windows.net/originals/a7d5e58180f7470e8fe37af9a01432c…
2026-03-05 20:49:31 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Vision analysis OK — caption='a sign on a wall', tags=['red', 'maroon', 'rectangle', 'material property', 'wall'], objects=[]
2026-03-05 20:49:31 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Image vector  OK — 1024-d
2026-03-05 20:49:31 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Generating OpenAI text embedding for: 'a sign on a wall. Tags: red, maroon, rectangle, material property, wall'
2026-03-05 20:49:31 | INFO    | app.openai_embeddings        | embed_text — 'a sign on a wall. Tags: red, maroon, rectangle, material property, wall'
2026-03-05 20:49:31 | INFO    | app.openai_embeddings        | embed_text OK (327 ms) — 3072-d vector
2026-03-05 20:49:31 | INFO    | app.upload                   |   [karly-santiago-79Ut1cRYoQ0-unsplash.jpg] Text vector   OK — 3072-d
